json_address,lots_table_match,match_score
"11649 Harbor Circle N, Dayton",,
"11664 Harbor Lane N, Dayton",,
"11675 Harbor Lane N, Dayton",,
"4687 Starflower Lane, Minnetrista",,
"11645 Harbor Circle N, Dayton",,
"24235 Williams Road, Rogers",,
"24225 Williams Road, Rogers",,
"4114 Xenwood Avenue S, St Louis Park",,
"2770 Gale Road, Wayzata",,
"2200 Nevada Avenue S #211, St Louis Park",,
"10920 Oak Knoll Terrace N, Hopkins","10920 Oak Knoll Terrace Minnetonka, MN 55305",0.6842
"22570 129th Place N, Rogers","22570 129th Place Rogers, MN 55374",0.8136
"8401 32nd Avenue N, Crystal","8401 32nd Avenue Crystal, MN 55427",0.8136
"15181 116th Avenue N, Dayton","15181 116th Avenue Dayton, MN 00000",0.8197
"15044 116th Avenue N, Dayton","15044 116th Avenue Dayton, MN 00000",0.8197
"11532 Polaris Lane N, Dayton","11532 Polaris Lane Dayton, MN 55369",0.8197
"15177 116th Avenue N, Dayton","15177 116th Avenue Dayton, MN 00000",0.8197
"912 W 66th Street, Richfield","912 66th Street Richfield, MN 55423",0.8197
"14980 144th Avenue N, Dayton","14980 144th Avenue Dayton, MN 55327",0.8197
"222 Ferndale Road S ##105, Wayzata","222 Ferndale Road Wayzata, MN 55391",0.8197
"16105 37th Avenue N, Plymouth","16105 37th Avenue Plymouth, MN 55446",0.8254
"4600 Boone Avenue N, New Hope","4600 Boone Avenue New Hope, MN 55428",0.8254
"15630 26th Avenue N #B, Plymouth","15630 26th Avenue Plymouth, MN 55447",0.8254
"3101 Tyler Street NE, Minneapolis","3101 Tyler Street Minneapolis, MN 55418",0.8286
"11621 Minnesota Lane N, Dayton","11621 Minnesota Lane Dayton, MN 00000",0.8308
"11657 Minnesota Lane N, Dayton","11657 Minnesota Lane Dayton, MN 00000",0.8308
"4520 Rosewood Lane N, Plymouth","4520 Rosewood Lane Plymouth, MN 55442",0.8308
"2509 N 6th Street, Minneapolis","2509 6th Street Minneapolis, MN 55411",0.8308
"6929 James Avenue S, Richfield","6929 James Avenue Richfield, MN 55423",0.8308
"6739 Yucca Lane N, Maple Grove","6739 Yucca Lane Maple Grove, MN 55311",0.8308
"649 Madison Street NE, Minneapolis","649 Madison Street Minneapolis, MN 55413",0.8333
"7127 Morgan Avenue S, Richfield","7127 Morgan Avenue Richfield, MN 55423",0.8358
"2900 11th Avenue S #413, Minneapolis","2900 11th Avenue Minneapolis, MN 55407",0.8358
"13354 73rd Place N, Maple Grove","13354 73rd Place Maple Grove, MN 55311",0.8358
"6040 Goldenrod Lane N, Plymouth","6040 Goldenrod Lane Plymouth, MN 55442",0.8358
"2508 11th Avenue S, Minneapolis","2508 11th Avenue Minneapolis, MN 55404",0.8358
"8533 Rich Avenue S, Bloomington","8533 Rich Avenue Bloomington, MN 55437",0.8358
"3036 15th Avenue S, Minneapolis","3036 15th Avenue Minneapolis, MN 55407",0.8358
"2628 Ulysses Street NE, Minneapolis","2628 Ulysses Street Minneapolis, MN 55418",0.8378
"10568 Harbor Lane N, Maple Grove","10568 Harbor Lane Maple Grove, MN 55369",0.8406
"2714 Girard Avenue N, Minneapolis","2714 Girard Avenue Minneapolis, MN 55411",0.8451
"4905 Dupont Avenue N, Minneapolis","4905 Dupont Avenue Minneapolis, MN 55430",0.8451
"4046 Xerxes Avenue S, Minneapolis","4046 Xerxes Avenue Minneapolis, MN 55412",0.8451
"5001 Kelsey Terrace, Edina","5001 Kelsey Terrace Edina, MN 55436",0.8475
"2130 Douglas Drive N, Golden Valley","2130 Douglas Drive Golden Valley, MN 55422",0.8533
"2670 Commerce Boulevard #202, Mound","2670 Commerce Boulevard Mound, MN 55364",0.8657
"5616 Mahoney Avenue, Minnetonka","5616 Mahoney Avenue Minnetonka, MN 55345",0.8696
"2225 Old Post Road, Independence","2225 Old Post Road Independence, MN 55359",0.8732
"3637 Bloomington Avenue, Minneapolis","3637 Bloomington Avenue Minneapolis, MN 55407",0.8861
"5733 Scenic Heights Drive, Minnetonka","5733 Scenic Heights Drive Minnetonka, MN 55345",0.8889
