json_address,lots_table_match,match_score
"11649 Harbor Circle N, Dayton",,
"11664 Harbor Lane N, Dayton",,
"11675 Harbor Lane N, Dayton",,
"4687 Starflower Lane, Minnetrista",,
"11645 Harbor Circle N, Dayton",,
"24235 Williams Road, Rogers",,
"24225 Williams Road, Rogers",,
"4114 Xenwood Avenue S, St Louis Park",,
"2770 Gale Road, Wayzata",,
"2200 Nevada Avenue S #211, St Louis Park",,
"10920 Oak Knoll Terrace N, Hopkins",,
"20044 Glarus Lane, Lakeville",,
"15522 Garnet Way #102, Apple Valley",,
"1125 Annagaire Curve, Rosemount",,
"1109 Annagaire Curve, Rosemount",,
"1117 Annagaire Curve, Rosemount",,
"221 9th Street S, South St Paul",,
"8560 Asiatic Avenue, Inver Grove Heights",,
"1055 Adamstown Drive, Rosemount",,
"17624 Foxboro Lane, Farmington",,
"147 Hurley Street E, West St Paul",,
"7337 Bond Way #18, Inver Grove Heights",,
"155 Conver Street, West St Paul",,
"2865 Upper 79 Court E, Inver Grove Heights",,
"15391 Ravenna Trail, Hastings",,
"xxx2 216th Street W, Farmington",,
"xxx1 216th Street W, Farmington",,
"XXX Bryant Avenue, South St Paul",,
"xxx8 217th Street W, Farmington",,
"851 5th Avenue S, South St Paul",,
"xxx3 216th Street W, Farmington",,
"7195 168th Street W, Rosemount",,
"600 Greenhaven Drive #110, Burnsville",,
"1048 Adamstown Drive, Rosemount",,
"1059 Adamstown Drive, Rosemount",,
"106 19th Avenue N, South St Paul",,
"4781 Blaine Avenue #408, Inver Grove Heights",,
"338 12th Avenue S, South St Paul",,
"3563 Blue Jay Way #200, Eagan",,
"xxx5 217th Street W, Farmington",,
"xxx4 217th Street W, Farmington",,
"xxx2 217th Street W, Farmington",,
"17295 Fieldcrest Avenue, Farmington",,
"6965 Upper 164th Street W, Rosemount",,
"1248 Delaware Avenue, West St Paul",,
"1080 Adamstown Drive, Rosemount",,
"4773 218th Street W, Farmington",,
"4767 218th Street W, Farmington",,
"1523 Traverse Lane, West St Paul",,
"14103 Plymouth Avenue #110, Burnsville",,
"2177 Cool Stream Circle, Eagan",,
"4110 Rahn Road #121, Eagan",,
"235 Old Wildwood Road, Mahtomedi",,
"23080 Bittersweet Street NW, St Francis",,
"429 James Parkway, Elko New Market",,
"6030 Meadowood Court, Savage","6030 Meadowood Savage, MN 55378",0.7368
"7250 Rutz Lake Road, Waconia","7250 RUTZ LAKE Road Waconia Township, MN 55387",0.7500
"6130 157th Street N, Hugo","6130 157Th Street Hugo, MN 55038",0.8000
"625 7th Street W, Hastings","625 7th Street Hastings, MN 55033",0.8070
"12595 Erskin Street NE, Blaine","12595 Erskin Street Blaine, MN 55449",0.8125
