json_address,lots_table_match,match_score
"11649 Harbor Circle N, Dayton",,
"11664 Harbor Lane N, Dayton",,
"11675 Harbor Lane N, Dayton",,
"4687 Starflower Lane, Minnetrista",,
"11645 Harbor Circle N, Dayton",,
"2628 Ulysses Street NE, Minneapolis",,
"912 W 66th Street, Richfield",,
"24235 Williams Road, Rogers",,
"24225 Williams Road, Rogers",,
"2900 11th Avenue S #413, Minneapolis",,
"2714 Girard Avenue N, Minneapolis",,
"4905 Dupont Avenue N, Minneapolis",,
"2770 Gale Road, Wayzata",,
"6040 Goldenrod Lane N, Plymouth",,
"2200 Nevada Avenue S #211, St Louis Park",,
"4520 Rosewood Lane N, Plymouth",,
"2509 N 6th Street, Minneapolis",,
"2508 11th Avenue S, Minneapolis",,
"10920 Oak Knoll Terrace N, Hopkins",,
"649 Madison Street NE, Minneapolis",,
"222 Ferndale Road S ##105, Wayzata",,
"3101 Tyler Street NE, Minneapolis",,
"8401 32nd Avenue N, Crystal",,
"3036 15th Avenue S, Minneapolis",,
"2941 Fremont Avenue N, Minneapolis",,
"3921 36th Avenue N, Robbinsdale",,
"15522 Garnet Way #102, Apple Valley",,
"221 9th Street S, South St Paul",,
"8560 Asiatic Avenue, Inver Grove Heights",,
"1055 Adamstown Drive, Rosemount",,
"17624 Foxboro Lane, Farmington",,
"147 Hurley Street E, West St Paul",,
"7337 Bond Way #18, Inver Grove Heights",,
"155 Conver Street, West St Paul",,
"2865 Upper 79 Court E, Inver Grove Heights",,
"xxx2 216th Street W, Farmington",,
"xxx1 216th Street W, Farmington",,
"XXX Bryant Avenue, South St Paul",,
"xxx8 217th Street W, Farmington",,
"1155 151st Street W, Rosemount",,
"5408 176th Street W, Lakeville",,
"851 5th Avenue S, South St Paul",,
"625 7th Street W, Hastings",,
"1655 W 140th Street, Burnsville",,
"xxx3 216th Street W, Farmington",,
"7195 168th Street W, Rosemount",,
"600 Greenhaven Drive #110, Burnsville",,
"1048 Adamstown Drive, Rosemount",,
"1059 Adamstown Drive, Rosemount",,
"106 19th Avenue N, South St Paul",,
"4781 Blaine Avenue #408, Inver Grove Heights",,
"1249 Timbershore Lane #407, Eagan",,
"338 12th Avenue S, South St Paul",,
"3563 Blue Jay Way #200, Eagan",,
"xxx5 217th Street W, Farmington",,
"xxx4 217th Street W, Farmington",,
"xxx2 217th Street W, Farmington",,
"6965 Upper 164th Street W, Rosemount",,
"1248 Delaware Avenue, West St Paul",,
"1080 Adamstown Drive, Rosemount",,
"4773 218th Street W, Farmington",,
"4767 218th Street W, Farmington",,
"1523 Traverse Lane, West St Paul",,
"14103 Plymouth Avenue #110, Burnsville",,
"2177 Cool Stream Circle, Eagan",,
