MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7003120","For Sale","$697,200","5296 176th Street W","Lakeville","Single Family Residence",3,3,"2,783 sqft","0.209 acres","$251","","- -"
"7003069","For Sale","$237,500","3772 Vermilion Court S","Eagan","Townhouse",2,2,"1,297 sqft","- -","$183","","- -"
"7003012","For Sale","$425,000","1420 Summit Shores Drive","Burnsville","Townhouse",3,3,"3,116 sqft","0.075 acres","$136","","- -"
"7002774","For Sale","$625,000","5956 Upper 179th Street W","Lakeville","Single Family Residence",5,3,"2,210 sqft","0.257 acres","$283","","- -"
"7002977","For Sale","$165,500","1887 Silver Bell Road #103","Eagan","Condominium",3,2,"1,288 sqft","- -","$128","","- -"
"7002395","For Sale","$299,900","20452 Cypress Drive","Farmington","Townhouse",2,2,"1,577 sqft","0.07 acres","$190","","- -"
"7002743","For Sale","$639,990","19240 Everglade Path","Farmington","Single Family Residence",5,4,"3,712 sqft","0.18 acres","$172","","- -"
"6821813","Active Under Contract","$415,000","18330 Gladden Lane","Lakeville","Townhouse",4,4,"2,460 sqft","0.04 acres","$169","","- -"
"7002831","For Sale","$719,990","13660 Aulden Avenue","Rosemount","Single Family Residence",5,4,"3,448 sqft","0.303 acres","$209","","- -"
"7002738","For Sale","$428,990","17977 Genoa Drive","Lakeville","Townhouse",3,3,"1,883 sqft","0.042 acres","$228","","- -"
"7002737","For Sale","$394,990","17971 Genoa Drive","Lakeville","Townhouse",3,3,"1,883 sqft","0.042 acres","$210","","- -"
"7002736","For Sale","$374,990","17969 Genoa Drive","Lakeville","Townhouse",3,3,"1,883 sqft","0.042 acres","$199","","- -"
"7002735","For Sale","$399,990","17973 Genoa Drive","Lakeville","Townhouse",3,3,"2,020 sqft","0.042 acres","$198","","- -"
"6721878","For Sale","$270,000","4316 Clemson Circle #B","Eagan","Townhouse",2,1,"1,702 sqft","0.14 acres","$159","","- -"
"6824199","For Sale","$489,000","9524 208th Street W","Lakeville","Single Family Residence",4,2,"2,127 sqft","0.321 acres","$230","","- -"
"7002519","For Sale","$580,000","19320 Ellington Trail","Farmington","Single Family Residence",5,4,"3,500 sqft","0.258 acres","$166","","- -"
"7002636","For Sale","$390,000","655 11th Avenue N","South St Paul","Single Family Residence",4,2,"1,728 sqft","0.218 acres","$226","","- -"
"6826890","For Sale","$300,000","5422 144th Street W","Apple Valley","Single Family Residence",4,2,"1,646 sqft","0.134 acres","$182","","- -"
"7002591","For Sale","$279,900","15436 Frost Path #1601","Apple Valley","Townhouse",2,2,"1,222 sqft","- -","$229","","- -"
