MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"6817807","For Sale","$230,000","1111 Elway Street #609","St Paul","Condominium",3,2,"1,200 sqft","- -","$192","","- -"
"7003148","For Lease","$12","2400 County Road D W","Roseville","- -","- -","- -","29,808 sqft","1.248 acres","$0","","- -"
"7002649","For Sale","$249,900","1007 Hudson Road","St Paul","Single Family Residence",3,2,"1,201 sqft","0.115 acres","$208","","- -"
"7003065","For Sale","$164,750","827 Pedersen Street","St Paul","Single Family Residence",2,1,"722 sqft","0.232 acres","$228","","- -"
"6788866","For Sale","$450,000","649 Randy Avenue","Shoreview","Single Family Residence",4,3,"2,533 sqft","0.267 acres","$178","","- -"
"7003048","For Sale","$239,900","1666 Coffman Street #101","Falcon Heights","Condominium",2,2,"1,211 sqft","- -","$198","","- -"
"7002740","For Sale","$89,900","856 Euclid Street","St Paul","Single Family Residence",2,1,"961 sqft","0.057 acres","$94","","- -"
"7002798","For Sale","$311,000","1442 Sandhurst Avenue E","Maplewood","Single Family Residence",3,2,"1,136 sqft","0.232 acres","$274","","- -"
"7002646","For Sale","$385,000","2308 16th Avenue E","North St Paul","Single Family Residence",4,2,"1,466 sqft","0.186 acres","$263","","- -"
"7002389","For Sale","$35,000","562 Western Avenue N","St Paul","- -","- -","- -","- -","- -","- -","","Water"
"7002747","For Sale","$229,900","1310 Rice Street","St Paul","Single Family Residence",3,2,"1,200 sqft","0.097 acres","$192","","- -"
"7002726","For Sale","$1,075,000","1181 12th Avenue NW","New Brighton","Single Family Residence",4,5,"4,804 sqft","1.20 acres","$224","","- -"
"7002704","For Sale","$299,900","1034 Reaney Avenue","St Paul","- -",7,2,"2,944 sqft","0.145 acres","$102","","- -"
"7002147","For Sale","$175,000","2670 Oxford Street N #242","Roseville","Condominium",2,2,"1,022 sqft","5.062 acres","$171","","- -"
"7002610","For Sale","$89,987","132 Western Avenue S","St Paul","- -","- -","- -","- -","0.142 acres","- -","","- -"
"7002573","For Sale","$215,000","813 Jessamine Avenue E","St Paul","Single Family Residence",3,1,"1,246 sqft","0.112 acres","$173","","- -"
"7002185","For Sale","$250,000","829 Lawson Avenue E","St Paul","Single Family Residence",3,2,"782 sqft","0.114 acres","$320","","- -"
"7002551","For Sale","$247,500","366 Topping Street","St Paul","Single Family Residence",3,2,"1,337 sqft","0.124 acres","$185","","- -"
