MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7012686","For Sale","$674,990","1587 Norbert Lane","Shakopee","Single Family Residence",4,3,"3,008 sqft","0.35 acres","$224","","- -"
"7012672","For Sale","$649,990","1585 Norbert Lane","Shakopee","Single Family Residence",4,3,"2,679 sqft","0.25 acres","$243","","- -"
"7012677","For Sale","$659,990","1586 Norbert Lane","Shakopee","Single Family Residence",3,3,"2,819 sqft","0.33 acres","$234","","- -"
"7012640","Coming Soon - Feb 1","$520,000","13995 W Virginia Avenue","Savage","Single Family Residence",4,4,"2,968 sqft","0.36 acres","$175","","- -"
"7012446","For Sale","$450,000","1083 Shoreview Drive","Jordan","Single Family Residence",5,3,"2,449 sqft","0.14 acres","$184","","- -"
"7010547","For Sale","$502,000","429 James Parkway","Elko New Market","Single Family Residence",4,3,"2,526 sqft","0.19 acres","$199","","- -"
"7011795","For Sale","$349,000","12724 Monterey Avenue S","Savage","Single Family Residence",3,1,"1,155 sqft","0.20 acres","$302","","- -"
"7001242","Coming Soon - Feb 5","$489,000","510 Liberty Lane","New Prague","Single Family Residence",5,4,"3,298 sqft","0.31 acres","$148","","- -"
"7012002","Coming Soon - Feb 2","$465,000","3004 Francis Lane","Elko New Market","Single Family Residence",5,3,"2,506 sqft","0.288 acres","$186","","- -"
"7011531","Coming Soon - Jan 26","$395,000","710 Ironwood Avenue NE","New Prague","Single Family Residence",5,3,"2,323 sqft","0.29 acres","$170","","- -"
"7011938","Coming Soon - Jan 28","$279,900","125 N Cedar Street","Belle Plaine","Single Family Residence",4,2,"1,764 sqft","0.33 acres","$159","","- -"
"7009527","Coming Soon - Feb 5","$430,000","6030 Meadowood Court","Savage","Single Family Residence",3,2,"2,234 sqft","0.27 acres","$192","","- -"
